ID,PATH,TYPE
1,DATASET/L/L-1,LENSE
2,DATASET/L/L-2,LENSE
3,DATASET/L/L-3,LENSE
4,DATASET/L/L-4,LENSE
5,DATASET/L/L-5,LENSE
6,DATASET/L/L-6,LENSE
7,DATASET/L/L-7,LENSE
8,DATASET/L/L-8,LENSE
9,DATASET/L/L-9,LENSE
10,DATASET/L/L-10,LENSE
11,DATASET/L/L-11,LENSE
12,DATASET/L/L-12,LENSE
13,DATASET/L/L-13,LENSE
14,DATASET/L/L-14,LENSE
15,DATASET/L/L-15,LENSE
16,DATASET/L/L-16,LENSE
17,DATASET/L/L-17,LENSE
18,DATASET/L/L-18,LENSE
19,DATASET/L/L-19,LENSE
20,DATASET/L/L-20,LENSE
21,DATASET/L/L-21,LENSE
22,DATASET/L/L-22,LENSE
23,DATASET/L/L-23,LENSE
24,DATASET/L/L-24,LENSE
25,DATASET/L/L-25,LENSE
26,DATASET/L/L-26,LENSE
27,DATASET/L/L-27,LENSE
28,DATASET/L/L-28,LENSE
29,DATASET/L/L-29,LENSE
30,DATASET/L/L-30,LENSE
31,DATASET/L/L-31,LENSE
32,DATASET/L/L-32,LENSE
33,DATASET/L/L-33,LENSE
34,DATASET/L/L-34,LENSE
35,DATASET/L/L-35,LENSE
36,DATASET/L/L-36,LENSE
37,DATASET/L/L-37,LENSE
38,DATASET/L/L-38,LENSE
39,DATASET/L/L-39,LENSE
40,DATASET/L/L-40,LENSE
41,DATASET/L/L-41,LENSE
42,DATASET/L/L-42,LENSE
43,DATASET/L/L-43,LENSE
44,DATASET/L/L-44,LENSE
45,DATASET/L/L-45,LENSE
46,DATASET/L/L-46,LENSE
47,DATASET/L/L-47,LENSE
48,DATASET/L/L-48,LENSE
49,DATASET/L/L-49,LENSE
50,DATASET/L/L-50,LENSE
51,DATASET/L/L-51,LENSE
52,DATASET/L/L-52,LENSE
53,DATASET/L/L-53,LENSE
54,DATASET/L/L-54,LENSE
55,DATASET/L/L-55,LENSE
56,DATASET/L/L-56,LENSE
57,DATASET/L/L-57,LENSE
58,DATASET/L/L-58,LENSE
59,DATASET/L/L-59,LENSE
60,DATASET/L/L-60,LENSE
61,DATASET/L/L-61,LENSE
62,DATASET/L/L-62,LENSE
63,DATASET/L/L-63,LENSE
64,DATASET/L/L-64,LENSE
65,DATASET/L/L-65,LENSE
66,DATASET/L/L-66,LENSE
67,DATASET/L/L-67,LENSE
68,DATASET/L/L-68,LENSE
69,DATASET/L/L-69,LENSE
70,DATASET/L/L-70,LENSE
71,DATASET/L/L-71,LENSE
